Unnamed: 0,label,path
1483,1,../chaoyang-data/train/538844-1-IMG007x047-1.JPG
517,3,../chaoyang-data/train/535988-IMG011x011-3.JPG
3173,1,../chaoyang-data/train/541831-IMG017x029-1.JPG
1820,3,../chaoyang-data/train/538880-3-IMG008x030-3.JPG
294,0,../chaoyang-data/train/535954-IMG005x008-0.JPG
763,0,../chaoyang-data/train/536707_2-IMG004x005-0.JPG
2021,3,../chaoyang-data/train/538880-3-IMG022x031-3.JPG
3006,1,../chaoyang-data/train/541311_1-IMG027x015-1.JPG
1066,0,../chaoyang-data/train/537688_1-IMG007x003-0.JPG
662,0,../chaoyang-data/train/536706_1-IMG009x014-0.JPG
3079,1,../chaoyang-data/train/541500-IMG013x005-1.JPG
454,0,../chaoyang-data/train/535958-IMG013x016-0.JPG
971,0,../chaoyang-data/train/536719-IMG007x014-0.JPG
706,0,../chaoyang-data/train/536706_2-IMG009x013-0.JPG
3500,2,../chaoyang-data/train/543358_1-IMG009x006-2.JPG
3737,3,../chaoyang-data/train/543645_1-IMG025x010-3.JPG
1572,0,../chaoyang-data/train/538846-IMG006x007-0.JPG
1221,1,../chaoyang-data/train/537704-IMG026x005-1.JPG
251,0,../chaoyang-data/train/535953-IMG010x008-0.JPG
3119,1,../chaoyang-data/train/541500-IMG021x010-1.JPG
237,0,../chaoyang-data/train/535953-IMG006x011-0.JPG
2550,2,../chaoyang-data/train/539668_1-IMG013x026-2.JPG
2616,2,../chaoyang-data/train/539668_1-IMG022x007-2.JPG
574,3,../chaoyang-data/train/535990_2-IMG017x011-3.JPG
260,0,../chaoyang-data/train/535953-IMG012x008-0.JPG
726,0,../chaoyang-data/train/536707_1-IMG006x008-0.JPG
1489,1,../chaoyang-data/train/538844-1-IMG011x040-1.JPG
3399,2,../chaoyang-data/train/543086_1-IMG008x014-2.JPG
460,0,../chaoyang-data/train/535960-IMG005x006-0.JPG
4001,2,../chaoyang-data/train/543716-IMG014x012-2.JPG
1182,0,../chaoyang-data/train/537702-IMG008x010-0.JPG
405,0,../chaoyang-data/train/535957-IMG005x007-0.JPG
2266,0,../chaoyang-data/train/538899-IMG009x016-0.JPG
3328,2,../chaoyang-data/train/542441-IMG020x022-2.JPG
644,0,../chaoyang-data/train/536706_1-IMG008x007-0.JPG
2062,3,../chaoyang-data/train/538880-3-IMG025x038-3.JPG
3193,3,../chaoyang-data/train/541831-IMG021x027-3.JPG
2201,3,../chaoyang-data/train/538880-3-IMG039x047-3.JPG
2368,2,../chaoyang-data/train/539085_2-IMG013x018-2.JPG
1912,3,../chaoyang-data/train/538880-3-IMG014x054-3.JPG
1162,0,../chaoyang-data/train/537702-IMG005x013-0.JPG
3452,2,../chaoyang-data/train/543086_1-IMG022x006-2.JPG
451,1,../chaoyang-data/train/535958-IMG009x012-1.JPG
1852,3,../chaoyang-data/train/538880-3-IMG011x024-3.JPG
274,1,../chaoyang-data/train/535953-IMG015x006-1.JPG
2730,3,../chaoyang-data/train/539972_2-IMG019x016-3.JPG
59,2,../chaoyang-data/train/535940-IMG014x029-2.JPG
415,3,../chaoyang-data/train/535957-IMG007x004-3.JPG
1811,3,../chaoyang-data/train/538880-3-IMG007x025-3.JPG
1848,1,../chaoyang-data/train/538880-3-IMG011x016-1.JPG
3559,1,../chaoyang-data/train/543358_2-IMG012x007-1.JPG
1598,0,../chaoyang-data/train/538849-1-IMG007x011-0.JPG
1758,3,../chaoyang-data/train/538879-2-IMG011x008-3.JPG
1995,1,../chaoyang-data/train/538880-3-IMG021x010-1.JPG
